ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6720,1,-3777,-194,8440,7,-3882,-242
6672,1,-3766,-301,8581,3,-3883,-241
6672,1,-3748,-328,8669,15,-3880,-243
6716,1,-3708,-361,8760,28,-3881,-237
6732,1,-3683,-339,8841,40,-3880,-239
6716,1,-3617,-259,8925,38,-3883,-241
6724,1,-3586,-226,9056,27,-3884,-236
6724,1,-3533,-257,9198,13,-3880,-242
6716,1,-3483,-315,9290,7,-3879,-240
6676,1,-3442,-358,9387,15,-3879,-238
6716,1,-3373,-412,9522,24,-3882,-243
6720,1,-3298,-351,9563,38,-3878,-245
6716,1,-3227,-337,9707,40,-3877,-243
6732,1,-3188,-254,9783,30,-3879,-244
6716,1,-3116,-282,9907,18,-3876,-239
6724,1,-3047,-293,10007,8,-3874,-233
6724,1,-2991,-409,10069,8,-3879,-237
6716,1,-2860,-440,10188,22,-3876,-241
6784,1,-2795,-440,10265,37,-3873,-241
6768,1,-2767,-384,10354,39,-3873,-247
6776,1,-2632,-306,10388,34,-3868,-248
6772,1,-2586,-299,10518,19,-3866,-238
6768,1,-2508,-330,10618,4,-3870,-231
6724,1,-2406,-410,10667,4,-3869,-233
6716,1,-2318,-459,10712,17,-3874,-234
6776,1,-2221,-443,10822,35,-3871,-244
6772,1,-2092,-400,10868,40,-3868,-253
6768,1,-2006,-335,10954,36,-3871,-250
6788,1,-1896,-303,10956,26,-3866,-237
6768,1,-1844,-347,11051,13,-3869,-231
6780,1,-1725,-397,11154,10,-3863,-229
6776,1,-1598,-456,11225,18,-3867,-234
6772,1,-1513,-463,11215,29,-3866,-249
6780,1,-1367,-436,11233,43,-3862,-248
6776,1,-1283,-363,11305,38,-3855,-247
6772,1,-1117,-324,11360,23,-3855,-238
6784,1,-1056,-345,11422,15,-3851,-223
6768,1,-944,-396,11477,10,-3850,-219
6724,1,-845,-484,11475,13,-3850,-222
6724,1,-745,-490,11455,29,-3848,-237
6716,1,-628,-383,11530,36,-3847,-257
6716,1,-532,-423,11545,36,-3845,-260
6716,1,-426,-383,11572,32,-3842,-246
6724,1,-292,-368,11569,21,-3845,-231
6716,1,-164,-431,11596,15,-3835,-217
6724,1,-32,-407,11654,16,-3835,-216
6672,1,63,-416,11655,22,-3835,-231
6672,1,137,-453,11645,27,-3832,-247
6716,1,276,-410,11554,30,-3826,-257
6712,1,382,-405,11624,30,-3825,-253
6708,1,504,-412,11599,24,-3822,-234
6708,1,615,-419,11620,21,-3821,-221
6716,1,733,-421,11565,18,-3824,-217
6712,1,859,-431,11584,26,-3820,-227
6720,1,965,-398,11505,27,-3795,-235
6764,1,1816,-372,11292,20,-3794,-249
6764,1,1878,-371,11249,21,-3797,-253
6768,1,2023,-360,11216,21,-3791,-246
6768,1,2134,-471,11137,25,-3789,-231
6764,1,2256,-366,11079,28,-3788,-222
6768,1,2361,-382,11075,28,-3787,-218
6764,1,2442,-348,10982,26,-3783,-224
6768,1,2492,-293,10958,22,-3782,-240
6764,1,2562,-294,10863,14,-3782,-251
6764,1,2691,-389,10787,17,-3778,-250
6776,1,2784,-409,10713,25,-3778,-239
6764,1,2917,-389,10594,29,-3775,-223
6768,1,3033,-373,10575,32,-3770,-213
6768,1,3103,-293,10495,31,-3759,-214
6764,1,3151,-242,10404,24,-3758,-229
6768,1,3204,-256,10377,16,-3753,-242
6768,1,3283,-299,10278,13,-3749,-251
6764,1,3364,-355,10152,13,-3749,-243
6768,1,3450,-397,10060,24,-3744,-230
6764,1,3525,-357,9981,29,-3743,-217
6716,1,3594,-323,9891,34,-3735,-215
6712,1,3646,-222,9823,34,-3735,-223
6720,1,3676,-186,9730,20,-3733,-233
6716,1,3713,-214,9633,13,-3731,-244
6712,1,3771,-287,9540,13,-3729,-246
6712,1,3844,-324,9406,15,-3726,-231
6712,1,3935,-382,9352,26,-3720,-220
6728,1,3977,-268,9208,35,-3719,-214
6708,1,4031,-197,9141,30,-3712,-218
